,block,birth_date,in_date,out_date,fish_id,tank,camera,compartment,tank_position,tank_system,mom_id,home_tank,age_at_end,mean,std
0,1,10. Sep 21,10. Sep 21,08. Oct 21,m1_01,1F,33,F,wall,1,m1,V18,28,0.21090697938087175,0.18461370066400498
1,1,24. Sep 21,24. Sep 21,08. Oct 21,m3_01,1B,33,B,wall,1,m3,V46,13,0.24477135428848273,0.21719138810272143
2,1,10. Sep 21,10. Sep 21,08. Oct 21,m1_03,2F,4,F,middle,1,m1,V18,28,0.11208311525331502,0.05469124244975694
3,1,10. Sep 21,10. Sep 21,08. Oct 21,m1_04,2B,4,B,middle,1,m1,V18,28,0.09684389830170434,0.022891735896964416
4,1,10. Sep 21,10. Sep 21,08. Oct 21,m1_05,3F,89,F,door,1,m1,V18,28,0.18482510031160385,0.11266680284053013
5,1,10. Sep 21,10. Sep 21,08. Oct 21,m2_01,3B,89,B,door,1,m2,S11,28,0.6794438432451428,0.2738584464164398
6,1,10. Sep 21,10. Sep 21,08. Oct 21,m1_07,4F,68,F,wall,2,m1,V18,28,0.3006415388670979,0.20094890230620188
7,1,10. Sep 21,10. Sep 21,08. Oct 21,m1_08,4B,68,B,wall,2,m1,V18,28,0.14387727860558236,0.045970938751599674
8,1,10. Sep 21,10. Sep 21,08. Oct 21,m1_09,5F,78,F,middle,2,m1,V18,28,0.16349530025084302,0.09489843324589847
9,1,10. Sep 21,10. Sep 21,08. Oct 21,m1_10,5B,78,B,middle,2,m1,V18,28,0.16355299497957865,0.12655035215057125
10,1,10. Sep 21,10. Sep 21,08. Oct 21,m2_02,6F,57,F,door,2,m2,S11,28,0.15794438017066675,0.1448456607639894
11,1,10. Sep 21,10. Sep 21,08. Oct 21,m1_12,6B,57,B,door,2,m1,V18,28,0.1389004269237296,0.0645742794107655
12,1,10. Sep 21,10. Sep 21,08. Oct 21,m1_13,7F,66,F,wall,3,m1,V18,28,0.1657412460643599,0.17445861785238287
13,1,10. Sep 21,10. Sep 21,08. Oct 21,m1_14,7B,66,B,wall,3,m1,V18,28,0.18554128512042672,0.14219601747016955
14,1,10. Sep 21,10. Sep 21,08. Oct 21,m2_03,8F,58,F,middle,3,m1,V18,28,0.1969717907671289,0.22560358652441764
15,1,10. Sep 21,10. Sep 21,08. Oct 21,m1_16,8B,58,B,middle,3,m1,V18,28,0.2823760193224979,0.32387542985039613
16,1,24. Sep 21,24. Sep 21,08. Oct 21,m3_02,9F,64,F,door,3,m3,V46,13,0.1213764182673521,0.09598752197122444
17,1,10. Sep 21,10. Sep 21,08. Oct 21,m2_04,9B,64,B,door,3,m2,S11,28,0.5457385485890038,0.436887694689843
18,1,10. Sep 21,10. Sep 21,08. Oct 21,m1_19,10F,70,F,wall,4,m1,V18,28,0.11250696933997967,0.12819244825673848
19,1,10. Sep 21,10. Sep 21,08. Oct 21,m1_20,10B,70,B,wall,4,m1,V18,28,0.2413254086197686,0.1995068486437348
